"","article_name","year","yearweek_start","yearweek_end","month","week","promo_01","promo_02","promo_03","promo_04","promo_05","sales","date"
"70","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-05-01","2017-05-07",5,18,0,0,0,0,0,5432,"2017-05-01"
"71","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-05-08","2017-05-14",5,19,0,0,0,0,0,5217,"2017-05-08"
"72","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-05-15","2017-05-21",5,20,0,0,1,0,0,5185,"2017-05-15"
"73","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-05-22","2017-05-28",5,21,0,0,1,0,0,4755,"2017-05-22"
"74","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-05-29","2017-06-04",6,22,0,0,0,0,0,5727,"2017-05-29"
"75","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-06-05","2017-06-11",6,23,0,0,0,0,0,4563,"2017-06-05"
"76","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-06-12","2017-06-18",6,24,0,0,0,0,0,4701,"2017-06-12"
"77","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-06-19","2017-06-25",6,25,0,0,0,0,0,5272,"2017-06-19"
"78","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-06-26","2017-07-02",6,26,0,0,0,0,0,4776,"2017-06-26"
"79","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-07-03","2017-07-09",7,27,0,0,0,0,0,4678,"2017-07-03"
"80","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-07-10","2017-07-16",7,28,0,0,0,0,0,4257,"2017-07-10"
"81","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-07-17","2017-07-23",7,29,0,0,0,0,0,4265,"2017-07-17"
"82","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-07-24","2017-07-30",7,30,0,0,0,0,0,3981,"2017-07-24"
"83","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-07-31","2017-08-06",8,31,0,0,0,0,0,4360,"2017-07-31"
"84","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-08-07","2017-08-13",8,32,0,0,0,0,0,4542,"2017-08-07"
"85","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-08-14","2017-08-20",8,33,0,0,0,0,0,4648,"2017-08-14"
"86","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-08-21","2017-08-27",8,34,0,0,0,0,0,4797,"2017-08-21"
"87","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-08-28","2017-09-03",8,35,0,0,0,0,0,4600,"2017-08-28"
"88","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-09-04","2017-09-10",9,36,0,0,1,0,0,4984,"2017-09-04"
"89","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-09-11","2017-09-17",9,37,0,0,1,0,0,4273,"2017-09-11"
"90","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-09-18","2017-09-24",9,38,0,0,0,0,0,4315,"2017-09-18"
"91","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-09-25","2017-10-01",9,39,0,0,0,0,0,4246,"2017-09-25"
"92","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-10-02","2017-10-08",10,40,0,0,0,0,0,3951,"2017-10-02"
"93","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-10-09","2017-10-15",10,41,0,0,0,0,0,4186,"2017-10-09"
"94","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-10-16","2017-10-22",10,42,0,0,0,0,0,4482,"2017-10-16"
"95","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-10-23","2017-10-29",10,43,0,0,0,0,0,4397,"2017-10-23"
"96","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-10-30","2017-11-05",11,44,0,0,0,0,0,4628,"2017-10-30"
"97","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-11-06","2017-11-12",11,45,0,0,0,0,0,4450,"2017-11-06"
"98","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-11-13","2017-11-19",11,46,0,0,0,0,0,4355,"2017-11-13"
"99","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-11-20","2017-11-26",11,47,0,0,0,0,0,4302,"2017-11-20"
"100","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-11-27","2017-12-03",11,48,0,0,0,0,0,4275,"2017-11-27"
"101","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-12-04","2017-12-10",12,49,0,0,0,0,0,3838,"2017-12-04"
"102","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-12-11","2017-12-17",12,50,0,0,0,0,0,4285,"2017-12-11"
"103","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-12-18","2017-12-24",12,51,0,0,0,0,0,4906,"2017-12-18"
"104","AHA JOGHURT LAKTOSEF CLAS",2017,"2017-12-25","2017-12-31",12,52,0,0,0,0,0,3296,"2017-12-25"
"105","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-01-01","2018-01-07",1,1,0,0,0,0,0,4025,"2018-01-01"
