,article_name,date,sales
200,M-CLAS JOG. HEIDELBE 200G,2022-10-09,7023.0746577908585
201,M-CLAS JOG. HIMBEER 200G,2022-10-09,6302.753343199256
202,M-CLAS JOG. NATURE 200G,2022-10-09,4375.132417180401
203,M-CLAS JOG. SCHOKOLA 200G,2022-10-09,19193.29423141126
204,M-CLAS JOG. VANILLE 200G,2022-10-09,3495.8786391208428
205,M-CLAS JOGHURT MOKKA 200G,2022-10-09,16650.83049842621
206,MB JOGHURT NATUR 500G,2022-10-09,5938.262502967628
207,VALFLORA CREME FRAICHE NA,2022-10-09,8988.438086640572
208,YOGOS GRECQUE NATURE 180G,2022-10-09,5877.301777482802
209,AHA JOGHURT LAKTOSEF CLAS,2022-10-16,4456.434047962022
210,BIFIDUS JOGH. NATURE 150G,2022-10-16,14357.668930282494
211,BIFIDUS JOGH. NATURE 500G,2022-10-16,6165.423962574435
212,BIO FAIRT.JOG.MOKKA 180G,2022-10-16,3207.3969124824957
213,BIO JOGHURT NATURE 180G,2022-10-16,6669.309694805772
214,BIO JOGHURT NATURE 500G,2022-10-16,5542.588982465365
215,EXC JOGHURT TRUFFES 150G,2022-10-16,4674.796204056159
216,M-CLAS JOG. APF/MANG 200G,2022-10-16,8456.271286810414
217,M-CLAS JOG. ERDBEER 200G,2022-10-16,9568.058212696196
218,M-CLAS JOG. HASELNUS 200G,2022-10-16,8182.050998676287
219,M-CLAS JOG. HEIDELBE 200G,2022-10-16,8203.133661752163
220,M-CLAS JOG. HIMBEER 200G,2022-10-16,7361.779652159075
221,M-CLAS JOG. NATURE 200G,2022-10-16,5110.2683304359125
222,M-CLAS JOG. SCHOKOLA 200G,2022-10-16,22418.266309464012
223,M-CLAS JOG. VANILLE 200G,2022-10-16,4083.277074402206
224,M-CLAS JOGHURT MOKKA 200G,2022-10-16,19448.602615415497
225,MB JOGHURT NATUR 500G,2022-10-16,6936.044881194117
226,VALFLORA CREME FRAICHE NA,2022-10-16,10498.729207342594
227,YOGOS GRECQUE NATURE 180G,2022-10-16,6864.841170051067
228,AHA JOGHURT LAKTOSEF CLAS,2022-10-23,4677.598743350362
229,BIFIDUS JOGH. NATURE 150G,2022-10-23,15070.213857746352
230,BIFIDUS JOGH. NATURE 500G,2022-10-23,6471.402711041795
231,BIO FAIRT.JOG.MOKKA 180G,2022-10-23,3366.5741724855006
232,BIO JOGHURT NATURE 180G,2022-10-23,7000.295373316321
233,BIO JOGHURT NATURE 500G,2022-10-23,5817.657566624106
234,EXC JOGHURT TRUFFES 150G,2022-10-23,4906.797815062938
235,M-CLAS JOG. APF/MANG 200G,2022-10-23,8875.940610565774
236,M-CLAS JOG. ERDBEER 200G,2022-10-23,10042.903494213733
237,M-CLAS JOG. HASELNUS 200G,2022-10-23,8588.11126957868
238,M-CLAS JOG. HEIDELBE 200G,2022-10-23,8610.24022677828
239,M-CLAS JOG. HIMBEER 200G,2022-10-23,7727.131351917859
240,M-CLAS JOG. NATURE 200G,2022-10-23,5363.881628981281
241,M-CLAS JOG. SCHOKOLA 200G,2022-10-23,23530.84398616826
242,M-CLAS JOG. VANILLE 200G,2022-10-23,4285.922669653266
243,M-CLAS JOGHURT MOKKA 200G,2022-10-23,20413.80129823552
244,MB JOGHURT NATUR 500G,2022-10-23,7280.268140607251
245,VALFLORA CREME FRAICHE NA,2022-10-23,11019.761993224043
246,YOGOS GRECQUE NATURE 180G,2022-10-23,7205.530719121809
247,AHA JOGHURT LAKTOSEF CLAS,2022-10-13,4916.144841046684
248,BIFIDUS JOGH. NATURE 150G,2022-10-13,15838.757913032185
249,BIFIDUS JOGH. NATURE 500G,2022-10-13,6801.428424669959
250,BIO FAIRT.JOG.MOKKA 180G,2022-10-13,3538.261222939175
251,BIO JOGHURT NATURE 180G,2022-10-13,7357.29331940995
252,BIO JOGHURT NATURE 500G,2022-10-13,6114.343876501479
253,EXC JOGHURT TRUFFES 150G,2022-10-13,5157.032504952075
254,M-CLAS JOG. APF/MANG 200G,2022-10-13,9328.591877210809
255,M-CLAS JOG. ERDBEER 200G,2022-10-13,10555.067014329932
256,M-CLAS JOG. HASELNUS 200G,2022-10-13,9026.083943667527
257,M-CLAS JOG. HEIDELBE 200G,2022-10-13,9049.34142357198
258,M-CLAS JOG. HIMBEER 200G,2022-10-13,8121.196155575353
259,M-CLAS JOG. NATURE 200G,2022-10-13,5637.426475665158
260,M-CLAS JOG. SCHOKOLA 200G,2022-10-13,24730.859489075825
261,M-CLAS JOG. VANILLE 200G,2022-10-13,4504.494245363433
262,M-CLAS JOGHURT MOKKA 200G,2022-10-13,21454.855246217867
263,MB JOGHURT NATUR 500G,2022-10-13,7651.5440132103795
264,VALFLORA CREME FRAICHE NA,2022-10-13,11581.742908060485
265,YOGOS GRECQUE NATURE 180G,2022-10-13,7572.995165985913
